代码,名称,最新价,涨跌幅,市盈率-动态,市净率,总市值
688123,聚辰股份,128.31,6.93,49.49,8.53,20307757656.0
688197,首药控股-U,48.28,6.93,-34.4,10.19,7180169880.0
688617,惠泰医疗,321.65,6.86,53.34,16.23,45357087483.0
002475,立讯精密,70.2,6.85,38.31,6.86,509091532115.0
301043,绿岛风,47.0,6.82,37.47,3.9,3196000000.0
301358,湖南裕能,43.12,6.81,53.75,2.74,32805813330.0
601012,隆基绿能,17.4,6.81,-25.66,2.28,131858239319.0
301379,天山电子,31.98,6.81,42.16,4.61,6318379423.0
301118,恒光股份,25.48,6.79,184.78,2.09,2807804272.0
300054,鼎龙股份,37.0,6.78,56.22,7.29,34971073254.0
603786,科博达,98.96,6.76,44.32,7.31,39965659032.0
873693,阿为特,55.54,6.75,311.91,11.51,4037758000.0
688090,瑞松科技,42.48,6.73,-2018.4,5.85,5198280319.0
300686,智动力,14.29,6.72,-45.44,3.84,3724320104.0
300681,英搏尔,31.48,6.71,111.46,3.8,8277458799.0
600667,太极实业,7.8,6.7,24.93,1.89,16314028988.0
872925,锦好医疗,31.15,6.68,198.89,8.26,3067049029.0
300975,商络电子,13.57,6.68,54.95,4.17,9322666046.0
688432,有研硅,13.9,6.68,81.77,3.95,17341932706.0
001309,德明利,182.0,6.67,-175.05,17.53,41293301504.0
300438,鹏辉能源,36.79,6.64,-104.95,3.7,18518002214.0
002203,海亮股份,13.0,6.64,20.74,1.81,29503798779.0
300373,扬杰科技,72.03,6.63,32.54,4.4,39137341098.0
688302,海创药业-U,55.69,6.62,-44.57,4.85,5514178653.0
002230,科大讯飞,55.05,6.58,-266.31,7.12,127258676584.0
301525,儒竞科技,106.79,6.52,48.62,3.11,10071553705.0
002709,天赐材料,33.35,6.52,119.15,4.95,63843377269.0
688525,佰维存储,93.2,6.51,-96.32,10.0,43497213653.0
001211,双枪科技,24.94,6.49,86.75,2.04,1795680000.0
000593,德龙汇能,6.73,6.49,48.84,2.76,2413586691.0
300567,精测电子,81.33,6.48,411.18,6.4,22751665079.0
605178,时空科技,31.83,6.42,-23.79,2.49,3153716400.0
301392,汇成真空,185.71,6.42,217.74,24.76,18571000000.0
603458,勘设股份,8.63,6.41,-13.59,0.91,2641854556.0
688268,华特气体,64.78,6.41,50.02,4.17,7793348118.0
603163,圣晖集成,45.06,6.37,36.07,4.12,4506000000.0
300445,康斯特,20.45,6.34,40.13,3.53,4344193766.0
603688,石英股份,42.59,6.32,107.97,4.0,23070078329.0
300523,辰安科技,22.4,6.31,-35.39,4.64,5211083091.0
300809,华辰装备,48.34,6.31,179.62,7.52,12256084928.0
603220,中贝通信,26.51,6.3,113.66,5.87,11512025610.0
688596,正帆科技,40.68,6.27,63.22,3.33,11916126109.0
832491,奥迪威,35.04,6.25,49.0,4.83,4945657027.0
002407,多氟多,17.02,6.24,197.36,2.46,20261162324.0
000962,东方钽业,24.9,6.23,43.43,4.64,12571120273.0
001212,中旗新材,60.65,6.22,2239.78,6.68,11301737763.0
001696,宗申动力,25.99,6.21,29.43,5.68,29759249651.0
300183,东软载波,18.15,6.2,310.41,2.69,8396355837.0
600206,有研新材,21.6,6.19,70.26,4.62,18285551971.0
688531,日联科技,64.35,6.19,64.35,3.19,10655969975.0
600889,南京化纤,16.33,6.18,-33.63,17.83,5982430343.0
688786,悦安新材,28.38,6.17,53.72,5.66,4081044085.0
301213,观想科技,55.11,6.16,1545.13,5.61,4408799945.0
603062,XD麦加芯,53.2,6.15,26.1,2.89,5745600000.0
002353,杰瑞股份,53.87,6.13,22.22,2.52,55155113724.0
001206,依依股份,29.81,6.12,26.96,2.96,5511684416.0
002409,雅克科技,71.18,6.11,32.4,4.43,33876532120.0
605060,联德股份,30.25,6.1,33.35,2.99,7277908000.0
688548,广钢气体,12.26,6.06,68.82,2.75,16175825867.0
002262,恩华药业,28.92,6.05,20.97,3.83,29376547980.0
831961,创远信科,31.26,6.04,353.52,5.84,4465194280.0
688188,柏楚电子,154.33,6.03,34.77,7.79,44507419915.0
300936,中英科技,40.32,6.02,-190.58,3.04,3032064000.0
688536,思瑞浦,169.0,6.02,174.5,4.01,22924677451.0
600633,浙数文化,15.19,6.0,25.52,1.92,19262051230.0
600990,四创电子,29.4,5.98,-91.75,4.31,7969606823.0
603048,浙江黎明,22.15,5.98,54.82,2.56,3253392000.0
002119,康强电子,17.97,5.96,56.69,4.76,6743853480.0
300919,中伟股份,47.25,5.94,30.24,2.17,44321844641.0
300018,中元股份,8.74,5.94,36.31,3.19,4241832585.0
603929,亚翔集成,42.67,5.93,28.29,5.01,9104071200.0
688589,力合微,27.01,5.92,78.99,4.09,3925317653.0
300559,佳发教育,15.66,5.88,76.71,5.21,6256398119.0
002634,棒杰股份,4.69,5.87,-7.18,14.36,2154363286.0
300480,光力科技,17.0,5.85,119.11,4.72,5998103234.0
688126,沪硅产业,25.17,5.85,-94.32,5.9,69146449772.0
688303,大全能源,29.01,5.84,-27.14,1.6,62232418053.0
603203,快克智能,34.62,5.81,33.04,6.12,8781747905.0
301021,英诺激光,45.9,5.81,411.81,7.07,6983773679.0
603799,华友钴业,55.52,5.79,18.9,2.27,102456383699.0
688248,南网科技,57.99,5.78,93.8,10.61,32746953000.0
688073,毕得医药,74.63,5.74,46.2,3.48,6782594409.0
603918,金桥信息,18.62,5.74,-83.56,6.68,6803782000.0
300487,蓝晓科技,59.31,5.74,33.87,7.74,30109646084.0
000665,湖北广电,6.27,5.73,-14.49,1.72,7129927334.0
002208,合肥城建,6.86,5.7,228.48,0.85,5510582393.0
688190,云路股份,113.69,5.7,40.25,5.25,13642800000.0
301276,嘉曼服饰,22.82,5.7,23.09,1.42,2957472000.0
688146,中船特气,45.93,5.68,68.37,4.34,24315882366.0
002321,华英农业,2.98,5.67,-154.04,6.76,6356012412.0
688689,银河微电,29.08,5.67,68.85,3.16,3748504096.0
603356,华菱精工,13.45,5.66,-19.45,4.4,1793423000.0
870436,大地电气,22.23,5.66,-77.22,5.51,2100201480.0
300440,运达科技,13.1,5.65,176.59,3.62,5815333660.0
300655,晶瑞电材,15.16,5.64,116.6,6.56,16266247682.0
688088,XD虹软科,59.3,5.63,134.35,8.78,23789404720.0
301040,中环海陆,22.52,5.63,-26.5,2.99,2252020426.0
688720,艾森股份,52.84,5.6,138.75,4.69,4656965369.0
688511,*ST天微,21.86,5.6,36.47,2.68,2247845044.0
600641,万业企业,18.72,5.58,213.47,2.13,17421392102.0
603283,赛腾股份,51.23,5.56,58.25,4.51,14272207862.0
002245,蔚蓝锂芯,21.45,5.56,37.14,3.42,24744441944.0
600200,*ST苏吴,0.95,5.56,-7.6,0.38,675335506.0
300347,泰格医药,61.0,5.54,68.51,2.56,52522589050.0
001288,运机集团,26.19,5.52,41.92,2.85,6152597830.0
603607,京华激光,24.66,5.52,46.26,4.47,4402224288.0
301611,珂玛科技,60.76,5.5,77.07,16.05,26491360000.0
002819,东方中科,31.15,5.49,-94.58,2.32,9332854615.0
300953,震裕科技,171.26,5.49,70.29,7.37,29709796211.0
002517,恺英网络,28.94,5.47,32.54,7.54,61828667192.0
688200,华峰测控,219.0,5.44,75.8,8.07,29681776275.0
600869,远东股份,8.14,5.44,62.94,4.11,18065531352.0
002420,毅昌科技,7.94,5.44,47.46,5.37,3267310000.0
688458,美芯晟,49.42,5.42,550.46,2.97,5512140205.0
688605,先锋精科,71.89,5.41,68.5,9.36,14549087848.0
300125,*ST聆达,8.39,5.4,-10.71,-3.5,2245163958.0
301290,东星医疗,27.96,5.35,46.23,1.26,2800846419.0
002153,石基信息,10.85,5.34,441.42,4.28,29611753175.0
002829,星网宇达,23.08,5.34,-150.79,2.88,4796240814.0
688721,龙图光罩,53.99,5.33,102.78,6.07,7207665000.0
300486,东杰智能,23.91,5.33,916.61,6.69,10899283048.0
301565,中仑新材,25.6,5.31,122.98,4.29,10240256000.0
688512,慧智微-U,12.9,5.31,-46.13,3.39,6022281769.0
301011,华立科技,30.35,5.31,63.64,5.88,4452102200.0
688213,思特威-W,107.51,5.3,54.43,9.36,43201987406.0
600522,中天科技,18.15,5.28,19.76,1.74,61945036184.0
300448,浩云科技,6.58,5.28,-143.38,3.57,4451482380.0
688661,和林微纳,52.33,5.27,129.51,6.46,7948289935.0
002193,如意集团,5.8,5.26,-7.93,2.65,1517950190.0
688584,上海合晶,26.62,5.26,148.33,4.35,17714501357.0
300935,盈建科,26.46,5.25,-32.46,2.6,2101735793.0
688111,金山办公,310.84,5.21,96.34,12.37,143974651436.0
603035,常熟汽饰,18.58,5.21,15.74,1.31,6806728746.0
688513,苑东生物,60.85,5.2,39.33,3.86,10741987778.0
301091,深城交,34.92,5.18,-979.47,7.97,18412617600.0
603088,宁波精达,12.2,5.17,47.11,5.7,6129133185.0
688653,康希通信,13.62,5.17,-116.87,4.02,5781417600.0
688552,航天南湖,39.49,5.17,125.55,5.1,13317923520.0
600732,爱旭股份,15.48,5.16,-68.98,4.89,32775028808.0
688367,工大高科,20.99,5.16,120.54,3.11,1839240354.0
