代码,名称,最新价,涨跌幅,市盈率-动态,市净率,总市值
601012,隆基绿能,19.28,6.34,-28.43,2.53,146104999306.0
003001,中岩大地,24.4,6.32,103.88,3.62,4310648912.0
002919,名臣健康,17.56,6.3,56.99,5.63,4680197719.0
600702,舍得酒业,61.85,6.27,23.21,2.92,20581136666.0
603080,新疆火炬,26.86,6.25,18.53,2.6,3800690000.0
300926,博俊科技,31.33,6.24,19.3,4.54,13607071593.0
300464,星徽股份,8.7,6.23,-196.47,31.67,3983031068.0
920087,秋乐种业,18.1,6.16,-72.89,5.8,2990120000.0
601908,京运通,4.41,6.01,-25.11,1.21,10648398617.0
002836,新宏泽,10.6,6.0,38.81,7.02,2442240000.0
002293,罗莱生活,8.5,5.99,19.11,1.75,7089786089.0
002338,奥普光电,67.76,5.96,263.64,12.01,16262400000.0
601077,渝农商行,7.16,5.92,5.28,0.62,81316120000.0
000572,海马汽车,5.9,5.92,-65.11,5.77,9703354913.0
300118,东方日升,10.94,5.91,-9.19,1.16,12471751661.0
600732,爱旭股份,16.66,5.91,-74.24,5.26,35273383717.0
300619,金银河,39.89,5.89,-82.31,4.56,6940846358.0
603011,合锻智能,27.68,5.81,719.29,6.34,13685391616.0
920925,锦好医疗,35.4,5.8,226.02,9.38,3485506762.0
300585,奥联电子,17.82,5.76,849.83,4.29,3049199998.0
300368,汇金股份,19.89,5.74,-148.35,51.95,10520685718.0
601699,潞安环能,15.4,5.7,17.08,0.99,46067701680.0
300138,晨光生物,13.99,5.66,15.72,2.07,6758570301.0
600121,郑州煤电,4.49,5.65,-12.21,3.26,5470670051.0
600744,华银电力,7.11,5.65,34.96,11.33,14441293588.0
600475,华光环能,16.88,5.63,28.26,1.81,16136701506.0
301288,*ST清研,17.13,5.61,-320.91,2.32,1850211300.0
000528,柳    工,11.5,5.6,9.5,1.3,23370303692.0
920982,锦波生物,276.6,5.58,40.59,19.33,31827073044.0
600438,通威股份,23.12,5.57,-10.5,2.48,104086005031.0
002342,巨力索具,8.2,5.4,420.92,3.23,7872000000.0
300993,玉马科技,19.35,5.39,40.24,4.0,5962338720.0
601336,新华保险,65.5,5.34,6.9,2.45,204330302300.0
600481,双良节能,6.34,5.32,-9.95,2.98,11879710537.0
920010,凯添燃气,14.3,5.3,91.36,4.95,3353350000.0
301013,利和兴,39.9,5.28,-122.92,11.74,9326347934.0
603185,弘元绿能,22.53,5.23,-25.77,1.32,15298370211.0
002238,天威视讯,8.45,5.23,-124.9,3.17,6781624902.0
603130,云中马,48.4,5.22,93.05,4.92,6655687280.0
600593,大连圣亚,36.18,5.21,-146.55,35.22,4659984000.0
001331,胜通能源,14.98,5.2,69.62,2.81,4227955200.0
300713,英可瑞,19.86,5.19,-61.07,5.96,3152195287.0
300127,银河磁体,40.75,5.19,78.15,9.27,13168214170.0
000838,财信发展,2.84,5.19,-351.35,7.36,3125312563.0
601020,华钰矿业,31.36,5.16,70.58,7.14,25714092929.0
002541,鸿路钢构,20.0,5.15,23.96,1.47,13800342840.0
600059,古越龙山,10.04,5.13,50.67,1.56,9151885827.0
600546,山煤国际,10.68,5.12,16.16,1.33,21172631575.0
600777,*ST新潮,4.31,5.12,15.3,1.25,29310137006.0
600315,上海家化,26.59,5.1,33.63,2.56,17874488808.0
000638,*ST万方,4.13,5.09,-127.99,8.94,1286026456.0
300332,天壕能源,6.19,5.09,38.8,1.27,5355073512.0
600595,中孚实业,5.59,5.08,15.83,1.38,22404189587.0
